"","id","dam","sire","sex","dna","sire_dna","dam_dna","year","has_dna","par_rel","par_dna","fullsibs","sibships","depth","color","affected","family"
"1","5508",NA,NA,"female","KL659",NA,NA,2006,1,NA,FALSE,NA,NA,NA,1,NA,1
"2","5510",NA,NA,"male","KL661",NA,NA,2006,1,NA,FALSE,NA,3,NA,1,NA,1
"3","5717",NA,NA,"male","KL668",NA,NA,2007,1,NA,FALSE,NA,3,NA,1,NA,3
"4","6124",NA,NA,"female","KL080371",NA,NA,2008,1,NA,FALSE,NA,5,NA,1,NA,5
"5","6139",NA,NA,"male","KL080258",NA,NA,2007,1,NA,FALSE,NA,3,NA,1,NA,6
"6","6410",NA,NA,"male","KL090276",NA,NA,2009,1,NA,FALSE,NA,5,NA,1,NA,1
"7","6414",NA,NA,"male","KL090317",NA,NA,2009,1,NA,FALSE,NA,NA,NA,1,NA,1
"8","6557",NA,NA,"female","SU090215",NA,NA,2009,1,NA,FALSE,NA,3,NA,1,NA,7
"9","8219",NA,NA,"male","KL110450",NA,NA,2008,1,NA,FALSE,NA,5,NA,1,NA,8
"10","8221",NA,NA,"male","KL100102",NA,NA,2010,1,NA,FALSE,NA,NA,NA,1,NA,1
"11","8225",NA,NA,"male","KL100109",NA,NA,2010,1,NA,FALSE,NA,NA,NA,1,NA,8
"12","8232",NA,NA,"male","KL100124",NA,NA,2010,1,NA,FALSE,NA,5,NA,1,NA,9
"13","8244",NA,NA,"male","KL100147",NA,NA,2010,1,NA,FALSE,NA,7,NA,1,NA,10
"14","8405",NA,NA,"female","SU100114",NA,NA,2010,1,NA,FALSE,NA,NA,NA,1,NA,11
"15","8415",NA,NA,"male","SU100133",NA,NA,2010,1,NA,FALSE,NA,NA,NA,1,NA,7
"16","9014",NA,NA,"male","KL110106",NA,NA,2011,1,NA,FALSE,NA,4,NA,1,NA,6
"17","9015",NA,NA,"male","KL110109",NA,NA,2011,1,NA,FALSE,NA,3,NA,1,NA,1
"18","9028",NA,NA,"male","KL110327",NA,NA,2011,1,NA,FALSE,NA,3,NA,1,NA,1
"19","9191",NA,NA,"male","SU110103",NA,NA,2011,1,NA,FALSE,NA,3,NA,1,NA,5
"20","9194",NA,NA,"male","SU110109",NA,NA,2011,1,NA,FALSE,NA,5,NA,1,NA,12
"21","9198",NA,NA,"male","SU110122",NA,NA,2011,1,NA,FALSE,NA,NA,NA,1,NA,7
"22","9202",NA,NA,"male","SU110155",NA,NA,2011,1,NA,FALSE,NA,2,NA,1,NA,11
"23","6284","5508","5510","male","KL080249","KL661","KL659",2008,1,0,TRUE,3,1,1,1,0,1
"24","6417",NA,NA,"female","LL080163",NA,"LL212",2008,1,NA,FALSE,NA,3,NA,1,NA,3
"25","6430",NA,NA,"female","KL090245","DS","KL090101",2009,1,0,FALSE,NA,2,NA,1,0,1
"26","8379",NA,NA,"male","KL100447","KL635",NA,2010,1,NA,FALSE,NA,NA,NA,1,NA,8
"27","8478","6557","8415","female","SU100310","SU100133","SU090215",2010,1,0,TRUE,3,3,1,1,0,7
"28","5909",NA,NA,"female","KL677","KL637","KL215",2007,1,0,FALSE,0,NA,2,1,0,6
"29","5954",NA,NA,"female","KL722","KL242","KL640",2007,1,0.25,FALSE,0,NA,1,1,1,10
"30","6203",NA,NA,"male","KL080246","KL409","KL090112",2008,1,0,FALSE,NA,6,NA,1,0,5
"31","6500","6417","5717","male","KL090305","KL668","LL080163",2009,1,0,TRUE,3,3,1,1,0,3
"32","8301",NA,NA,"female","KL100265","KL638","KL100141",2010,1,0,FALSE,0,6,1,1,0,5
"33","8308","6430","6284","male","KL100304","KL080249","KL090245",2010,1,0,TRUE,1,NA,2,1,0,1
"34","9606","8478","9198","female","SU120172","SU110122","SU100310",2012,1,0,TRUE,3,NA,2,1,0,7
"35","9607","8478","9198","male","SU120173","SU110122","SU100310",2012,1,0,TRUE,3,NA,2,1,0,7
"36","9608","8478","9198","male","SU120174","SU110122","SU100310",2012,1,0,TRUE,3,NA,2,1,0,7
"37","5983",NA,NA,"female","KL751","KL482","KL421",2007,1,0,FALSE,0,NA,1,1,0,1
"38","6445",NA,NA,"female","KL090242","DS","KL415",2009,1,0,FALSE,NA,3,NA,1,0,3
"39","8346","5954","8244","female","KL100407","KL100147","KL722",2010,1,0,TRUE,7,NA,2,1,0,10
"40","8347","5954","8244","male","KL100408","KL100147","KL722",2010,1,0,TRUE,7,NA,2,1,0,10
"41","8348","5954","8244","female","KL100409","KL100147","KL722",2010,1,0,TRUE,7,2,2,1,0,10
"42","8349","5954","8244","male","KL100410","KL100147","KL722",2010,1,0,TRUE,7,NA,2,1,0,10
"43","8350","5954","8244","male","KL100411","KL100147","KL722",2010,1,0,TRUE,7,NA,2,1,0,10
"44","8351","5954","8244","female","KL100412","KL100147","KL722",2010,1,0,TRUE,7,1,2,1,0,10
"45","8352","5954","8244","male","KL100413","KL100147","KL722",2010,1,0,TRUE,7,NA,2,1,0,10
"46","8511",NA,NA,"male","SU100374","DS","SU649",2010,1,0,FALSE,0,3,1,1,0,11
"47","9055","5909","6139","male","KL110168","KL080258","KL677",2011,1,0,TRUE,3,NA,3,1,0,6
