"id","dam","sire","sex","dna","sire_dna","dam_dna","year","has_dna","par_rel","par_dna","fullsibs","sibships","depth","color","affected","family"
"5700",NA,NA,"female","KL591","KL428","KL506",2006,1,0,FALSE,0,NA,1,1,0,1
"5508",NA,NA,"female","KL659",NA,NA,2006,1,NA,FALSE,NA,NA,NA,1,NA,1
"5510",NA,NA,"male","KL661",NA,NA,2006,1,NA,FALSE,NA,3,NA,1,NA,1
"6104",NA,NA,"female","KL090112",NA,NA,2006,1,NA,FALSE,NA,NA,NA,1,NA,4
"5983",NA,NA,"female","KL751","KL482","KL421",2007,1,0,FALSE,0,NA,1,1,0,1
"5909",NA,NA,"female","KL677","KL637","KL215",2007,1,0,FALSE,0,NA,2,1,0,5
"5931",NA,NA,"female","KL699","KL614","KL620",2007,1,0,FALSE,0,NA,2,1,0,4
"5717",NA,NA,"male","KL668",NA,NA,2007,1,NA,FALSE,NA,3,NA,1,NA,4
"6139",NA,NA,"male","KL080258",NA,NA,2007,1,NA,FALSE,NA,3,NA,1,NA,5
"5914",NA,NA,"male","KL684","KL664","KL659",2007,1,0,FALSE,NA,1,NA,1,0,4
"5910",NA,NA,"female","KL678","KL440","KL215",2007,1,0,FALSE,NA,NA,NA,1,0,1
"6284","5508","5510","male","KL080249","KL661","KL659",2008,1,0,TRUE,3,1,1,1,0,1
"6204","6104","5914","male","KL080247","KL684","KL090112",2008,1,0,TRUE,1,1,1,1,0,4
"6248",NA,NA,"female","KL080243","KL428","KL506",2008,1,0,FALSE,0,4,1,1,0,1
"6401",NA,NA,"female","KL090114",NA,NA,2008,1,NA,FALSE,NA,NA,NA,1,NA,1
"8219",NA,NA,"male","KL110450",NA,NA,2008,1,NA,FALSE,NA,5,NA,1,NA,1
"6417",NA,NA,"female","LL080163",NA,"LL212",2008,1,NA,FALSE,NA,3,NA,1,NA,4
"6203",NA,NA,"male","KL080246","KL409","KL090112",2008,1,0,FALSE,NA,6,NA,1,0,1
"6221",NA,NA,"female","KL080336","DS","KL295",2008,1,0,FALSE,NA,2,NA,1,0,1
"6500","6417","5717","male","KL090305","KL668","LL080163",2009,1,0,TRUE,3,3,1,1,0,4
"6487",NA,NA,"male","KL090215","KL428","KL678",2009,1,0,FALSE,0,NA,1,1,0,1
"6490","5931","6204","female","KL090255","KL080247","KL699",2009,1,0,TRUE,1,2,3,1,0,4
"6450",NA,NA,"female","KL090172","KL695","KL506",2009,1,0,FALSE,0,NA,4,1,0,1
"6451",NA,NA,"female","KL090174","KL695","KL506",2009,1,0,FALSE,0,NA,4,1,0,1
"6403",NA,NA,"male","KL090108",NA,NA,2009,1,NA,FALSE,NA,NA,NA,1,NA,4
"6407",NA,NA,"male","KL090161",NA,NA,2009,1,NA,FALSE,NA,2,NA,1,NA,4
"6410",NA,NA,"male","KL090276",NA,NA,2009,1,NA,FALSE,NA,5,NA,1,NA,1
"6414",NA,NA,"male","KL090317",NA,NA,2009,1,NA,FALSE,NA,NA,NA,1,NA,1
"6416",NA,NA,"male","KL090321",NA,NA,2009,1,NA,FALSE,NA,2,NA,1,NA,5
"6430",NA,NA,"female","KL090245","DS","KL090101",2009,1,0,FALSE,NA,2,NA,1,0,1
"6445",NA,NA,"female","KL090242","DS","KL415",2009,1,0,FALSE,NA,3,NA,1,0,4
"6491","5931","6403","male","KL090254","KL090108","KL699",2009,1,0,TRUE,NA,2,NA,1,0,4
"8374","6401","8224","female","KL100441","KL100108","KL090114",2010,1,0,TRUE,4,2,1,1,0,1
"8375","6401","8224","female","KL100442","KL100108","KL090114",2010,1,0,TRUE,4,NA,1,1,0,1
"8345","5910","6203","male","KL100406","KL080246","KL678",2010,1,0,TRUE,3,2,1,1,0,1
"8259","6221","8233","male","KL100178","KL100126","KL080336",2010,1,0,TRUE,2,NA,1,1,0,1
"8260","6221","8226","female","KL100179","KL100112","KL080336",2010,1,0,TRUE,2,NA,1,1,0,1
"8286","6104","6491","male","KL100237","KL090254","KL090112",2010,1,0,TRUE,2,2,1,1,0,4
"8308","6430","6284","male","KL100304","KL080249","KL090245",2010,1,0,TRUE,1,NA,2,1,0,1
"8363","6445","6500","female","KL100424","KL090305","KL090242",2010,1,0,TRUE,3,2,2,1,0,4
"8367","5983","6410","female","KL100434","KL090276","KL751",2010,1,0,TRUE,1,2,2,1,0,1
"8368","5983","6414","female","KL100435","KL090317","KL751",2010,1,0,TRUE,9,NA,2,1,0,1
"8247","5700","6410","female","KL100155","KL090276","KL591",2010,1,0,TRUE,4,NA,2,1,0,1
"8318","6248","8221","female","KL100335","KL100102","KL080243",2010,1,0,TRUE,4,NA,2,1,0,1
"8240","5909","6416","male","KL100142","KL090321","KL677",2010,1,0,TRUE,2,NA,3,1,0,5
"8243","5909","6416","female","KL100145","KL090321","KL677",2010,1,0,TRUE,2,NA,3,1,0,5
"8305","6490","6407","male","KL100272","KL090161","KL090255",2010,1,0,TRUE,2,NA,4,1,0,4
"8306","6490","6407","female","KL100273","KL090161","KL090255",2010,1,0,TRUE,2,NA,4,1,0,4
"8295","6450","6410","male","KL100259","KL090276","KL090172",2010,1,0,TRUE,5,NA,5,1,0,1
"8296","6450","6487","female","KL100260","KL090215","KL090172",2010,1,0.0234375,TRUE,0,NA,5,1,1,1
"8298","6450","8221","female","KL100262","KL100102","KL090172",2010,1,0,TRUE,1,3,5,1,0,1
"8353","6451","8219","male","KL100414","KL110450","KL090174",2010,1,0,TRUE,5,NA,5,1,0,1
"8354","6451","8225","female","KL100415","KL100109","KL090174",2010,1,0,TRUE,4,NA,5,1,0,1
"8355","6451","8219","female","KL100416","KL110450","KL090174",2010,1,0,TRUE,5,NA,5,1,0,1
"8356","6451","8219","female","KL100417","KL110450","KL090174",2010,1,0,TRUE,5,4,5,1,0,1
"8357","6451","8219","female","KL100418","KL110450","KL090174",2010,1,0,TRUE,5,NA,5,1,0,1
"8358","6450","6410","male","KL100419","KL090276","KL090172",2010,1,0,TRUE,5,NA,5,1,0,1
"8359","6450","6410","female","KL100420","KL090276","KL090172",2010,1,0,TRUE,5,NA,5,1,0,1
"8360","6450","6410","male","KL100421","KL090276","KL090172",2010,1,0,TRUE,5,NA,5,1,0,1
"8361","6450","6410","female","KL100422","KL090276","KL090172",2010,1,0,TRUE,5,NA,5,1,0,1
"8221",NA,NA,"male","KL100102",NA,NA,2010,1,NA,FALSE,NA,NA,NA,1,NA,1
"8224",NA,NA,"male","KL100108",NA,NA,2010,1,NA,FALSE,NA,4,NA,1,NA,1
"8225",NA,NA,"male","KL100109",NA,NA,2010,1,NA,FALSE,NA,NA,NA,1,NA,1
"8226",NA,NA,"male","KL100112",NA,NA,2010,1,NA,FALSE,NA,NA,NA,1,NA,1
"8233",NA,NA,"male","KL100126",NA,NA,2010,1,NA,FALSE,NA,2,NA,1,NA,1
"8344",NA,NA,"male","KL100402",NA,NA,2010,1,NA,FALSE,NA,2,NA,1,NA,1
"8379",NA,NA,"male","KL100447","KL635",NA,2010,1,NA,FALSE,NA,NA,NA,1,NA,1
"9106","8260","8344","male","KL110202","KL100402","KL100179",2011,1,0,TRUE,2,2,2,1,0,1
"9055","5909","6139","male","KL110168","KL080258","KL677",2011,1,0,TRUE,3,NA,3,1,0,5
"9056","5909","6139","male","KL110169","KL080258","KL677",2011,1,0,TRUE,3,NA,3,1,0,5
"9057","5909","6139","female","KL110170","KL080258","KL677",2011,1,0,TRUE,3,NA,3,1,0,5
"9077","8367","8345","male","KL110232","KL100406","KL100434",2011,1,0,TRUE,2,NA,3,1,0,1
"9079","8367","8345","female","KL110234","KL100406","KL100434",2011,1,0,TRUE,2,NA,3,1,0,1
"9162","8363","8286","female","KL110358","KL100237","KL100424",2011,1,0,TRUE,2,NA,3,1,0,4
"9164","8363","8286","female","KL110360","KL100237","KL100424",2011,1,0,TRUE,2,NA,3,1,0,4
"9114","8247","9017","female","KL110161","KL110121","KL100155",2011,1,0,TRUE,2,NA,3,1,0,1
"9116","8247","9017","female","KL110242","KL110121","KL100155",2011,1,0,TRUE,2,NA,3,1,0,1
"9081","6451","8225","male","KL110236","KL100109","KL090174",2011,1,0,TRUE,4,NA,5,1,0,1
"9083","6451","8219","female","KL110238","KL110450","KL090174",2011,1,0,TRUE,5,NA,5,1,0,1
"9154","8298","8308","female","KL110251","KL100304","KL100262",2011,1,0,TRUE,3,NA,6,1,0,1
"9155","8298","8308","female","KL110252","KL100304","KL100262",2011,1,0,TRUE,3,NA,6,1,0,1
"9156","8298","8308","male","KL110255","KL100304","KL100262",2011,1,0,TRUE,3,NA,6,1,0,1
"9160","8356","8379","female","KL110328","KL100447","KL100417",2011,1,0,TRUE,4,NA,6,1,0,1
"9014",NA,NA,"male","KL110106",NA,NA,2011,1,NA,FALSE,NA,4,NA,1,NA,5
"9017",NA,NA,"male","KL110121",NA,NA,2011,1,NA,FALSE,NA,2,NA,1,NA,1
"9023",NA,NA,"male","KL110203",NA,NA,2011,1,NA,FALSE,NA,NA,NA,1,NA,1
"9025",NA,NA,"male","KL110217",NA,NA,2011,1,NA,FALSE,NA,NA,NA,1,NA,1
